Month,Week,Phase,Focus_Area,Study_Hours_Planned,Lab_Hours_Planned,Total_Hours,Study_Hours_Actual,Lab_Hours_Actual,Deliverable,Status,Notes,English_Milestone,Consulting_Skill,Certification,Portfolio_Projects,TryHackMe_Rooms,HackTheBox_Machines,OSCP_Lab_Machines,Pentest_Reports_Written
9,36,Phase 2,Week 36,3,7,10,,,Exploitation lab consolidation,Complete,"Exploitation confirmed, report drafting","Month 9 presentation, final articles",Consulting presentation prepared,Complete,"Project 3 underway",1,0,0,0
10,37-40,Phase 2,Active Directory Attack Path + BloodHound,3,7,10,,,AD enumeration + BloodHound + Kerberoasting,Pending,"AD attacks, BloodHound","Writing AD attack article, labs",Presentations continuing,"","Project 4: Internal Network Pentest started",7,4,0,1
10,37,Phase 2,Week 37,3,7,10,,,AD enumeration with BloodHound + PowerView,In Progress,BloodHound setup,"Writing AD attack overview, labs",Month 10 presentation preparation,,,2,1,0,0
10,38,Phase 2,Week 38,3,7,10,,,Kerberoasting + AS-REP roasting with Impacket,In Progress,Kerberoasting lab,"Writing Kerberoasting guide, labs","Impacket mastery",,,2,1,0,0
10,39,Phase 2,Week 39,3,7,10,,,NTLM relay + Responder + SMB signing attacks,In Progress,Relay attacks,"Reading, writing guides",Presentation preparation,,,2,1,0,1
10,40,Phase 2,Week 40,3,7,10,,,Lateral movement + DCSync + Golden Ticket,In Progress,Full domain compromise,"Consulting presentation delivered, summary",Month 10 presentation delivered,,"First pentest report written",1,1,0,0
11,41-44,Phase 2,Web App Pentesting + Burp Suite Mastery,3,7,10,,,OWASP Top 10 + Burp Suite mastery,Pending,"Web pentesting, API testing","Documentation consolidation, writing",Phase 2 interim review,,"Project 5: AD Security Assessment started",8,5,0,2
11,41,Phase 2,Week 41,3,7,10,,,OWASP Top 10 deep dive + Burp Suite Pro features,In Progress,OWASP + Burp,"Web pentest documentation, writing",Phase 2 monthly review,,,2,1,0,0
11,42,Phase 2,Week 42,3,7,10,,,SQLi + XSS + CSRF advanced + sqlmap,In Progress,Injection mastery,"Knowledge consolidation, writing",Consolidation checkpoint,,,2,2,0,1
11,43,Phase 2,Week 43,3,7,10,,,Authentication + authorization flaws + JWT attacks,In Progress,Auth flaws,"Phase 2 review, summary documentation",Phase 2 knowledge check,,,2,1,0,0
11,44,Phase 2,Week 44,3,7,10,,,API security (OWASP API Top 10) + SSRF,In Progress,API testing,"Final Phase 2 documentation, article publishing",Pentest service offering drafted,,"Project 5 AD assessment complete",2,1,0,1
12,45-48,Phase 2,RECOVERY MONTH + eJPT EXAM,2,6,8,,,eJPT certification + consolidation,Pending,"Rest + eJPT exam","Light reading, consolidation",Recovery + eJPT,eJPT Certified (M12),"eJPT achieved",5,3,0,1
12,45-46,Phase 2,Weeks 45-46,2,6,8,,,Vacation + light eJPT practice,In Progress,Rest weeks,"Relaxation, personal time","Family, health, rest",,,2,1,0,0
12,47,Phase 2,Week 47,2,6,8,,,eJPT practice labs + exam prep,In Progress,Exam prep,"Light reading, eJPT labs",eJPT readiness,,,2,1,0,0
12,48,Phase 2,Week 48,2,6,8,,,eJPT EXAM DAY,Complete,"eJPT passed ✓","Exam report in English","Phase 3 ready to start",eJPT Certified,"eJPT certified",1,1,0,1
13,49-52,Phase 3,OSCP Begins — PEN-200 Foundations,3,7,10,,,OSCP PEN-200 course begins + Offsec lab access,Pending,"OSCP start, PEN-200","Writing OSCP prep notes, documentation",Pentest consulting presentations,"","Project 6 capstone design started",6,4,2,1
13,49,Phase 3,Week 49,3,7,10,,,PEN-200 course modules 1-5 (info gathering + enum),In Progress,PEN-200 start,"OSCP notes, writing",OSCP started,,,2,1,0,0
13,50,Phase 3,Week 50,3,7,10,,,PEN-200 modules 6-10 (web attacks + client-side),In Progress,Web + client-side,"Writing guides, labs",OSCP progress,,,2,1,1,0
13,51,Phase 3,Week 51,3,7,10,,,PEN-200 modules 11-14 (privesc + password attacks),In Progress,Privesc study,"Writing privesc guide, labs",OSCP labs begin,,,1,1,1,0
13,52,Phase 3,Week 52,3,7,10,,,First 3 Offsec lab boxes rooted,In Progress,Early lab boxes,"Lab walkthrough notes, writing","Offsec lab progress",,,1,1,0,1
14,53-56,Phase 3,OSCP Exploitation + AD Labs,3,7,10,,,OSCP exploitation labs + AD attack chain,Pending,"OSCP exploitation, AD focus","Writing lab walkthroughs, documentation",Regular presentations continuing,"","Pentest methodology guide",7,5,4,1
14,53,Phase 3,Week 53,3,7,10,,,PEN-200 modules 15-18 (port redirection + AV evasion),In Progress,Evasion techniques,"Writing evasion notes, labs",OSCP progress,,,2,1,1,0
14,54,Phase 3,Week 54,3,7,10,,,AD attack chain labs + BloodHound mastery,In Progress,AD mastery,"AD attack documentation, labs","OSCP AD focus",,,2,1,1,0
14,55,Phase 3,Week 55,3,7,10,,,Offsec lab boxes rooted 4-10,In Progress,Lab grinding,"Lab walkthrough notes, writing","Offsec lab progress",,,1,2,1,0
14,56,Phase 3,Week 56,3,7,10,,,Full AD chain lab completed,In Progress,AD chain success,"Pentest report writing practice",Pentest report in English,,"AD report v1",2,1,1,1
15,57-60,Phase 3,OSCP Challenge Labs + Pentest Reports,3,7,10,,,Offsec Proving Grounds + report writing,Pending,"Proving Grounds, report drafting","Writing report templates, documentation",Publishing technical blog posts,"","Pentest report template refined",7,5,6,2
15,57,Phase 3,Week 57,3,7,10,,,Proving Grounds Practice (5+ boxes),In Progress,PG Practice,"Writing walkthroughs, notes","Pentest methodology refined",,,2,1,2,0
15,58,Phase 3,Week 58,3,7,10,,,Proving Grounds Practice (5+ boxes) + hard boxes,In Progress,Hard boxes,"Writing walkthroughs, capstone","Pentest reports practice",,,2,1,2,1
15,59,Phase 3,Week 59,3,7,10,,,Full exam simulation #1 + report,In Progress,Exam sim #1,"Exam report, writing","Report writing mastery",,,1,2,1,0
15,60,Phase 3,Week 60,3,7,10,,,Full exam simulation #2 + AD chain,In Progress,Exam sim #2,"Exam report, capstone","Exam sim review",,"Sim reports ✓",2,1,1,1
16,61-64,Phase 3,OSCP Exam Prep Intensive,3,7,10,,,OSCP exam readiness + weak area mastery,Pending,"Exam prep intensive, weak areas","Writing prep notes, documentation",OSCP exam prep focus,"","Project 6 capstone in progress",8,6,8,2
16,61,Phase 3,Week 61,3,7,10,,,Linux privesc mastery (LinEnum + linpeas),In Progress,Linux privesc,"Writing privesc cheatsheet",Exam prep,,,2,1,2,0
16,62,Phase 3,Week 62,3,7,10,,,Windows privesc mastery (WinPEAS + PowerUp),In Progress,Windows privesc,"Writing privesc guide, labs",Exam prep,,,2,2,2,1
16,63,Phase 3,Week 63,3,7,10,,,Buffer overflow refresh + exploit dev,In Progress,BOF ready,"Writing BOF walkthrough",Exam prep,,,2,1,2,0
16,64,Phase 3,Week 64,3,7,10,,,Full exam simulation #3 + final review,In Progress,Exam sim #3,"Final exam prep documentation",Ready for OSCP,,"Exam sim report #3",2,2,2,1
17,65-68,Phase 3,OSCP EXAM + Post-Exam Consolidation,3,7,10,,,OSCP CERTIFICATION ACHIEVED,Pending,"OSCP exam + recovery","Writing OSCP experience post, case studies",Case studies publishing,OSCP Certified (M17),"Project 6 capstone completed",5,3,4,3
17,65,Phase 3,Week 65,3,7,10,,,Final OSCP prep + practice,In Progress,Final prep,"Final review notes",OSCP confidence check,,,2,1,2,0
17,66,Phase 3,Week 66,3,7,10,,,OSCP EXAM (24 hours) + report (24 hours),In Progress,48-hour marathon,"Exam report in English",OSCP exam taken,,,1,0,0,1
17,67,Phase 3,Week 67,3,7,10,,,OSCP result + post-exam recovery,In Progress,Recovery + result,"Writing OSCP journey post","OSCP result received",,,1,1,1,1
17,68,Phase 3,Week 68,3,7,10,,,OSCP CERTIFIED + Project 6 capstone finalization,Complete,"OSCP ✓, capstone ready","Capstone documentation, case studies","Capstone complete",OSCP Certified (M17),"Project 6: PAM + Pentest Capstone",1,1,1,1
18,69-72,Phase 3,CONSULTING LAUNCH,3,7,10,,,Consulting practice launched — first client engagement,Pending,"Business launch, first client","Website live, marketing","Launch month","","All 6 portfolio projects published",3,2,0,3
18,69,Phase 3,Week 69,3,7,10,,,Business entity finalized + insurance + website live,In Progress,Business ready,"Website content, LinkedIn","Launch announcements",,,1,1,0,1
18,70,Phase 3,Week 70,3,7,10,,,LinkedIn launch + network outreach + rate card published,In Progress,Launch day,"Launch post, network outreach","Network activation",,,1,0,0,0
18,71,Phase 3,Week 71,3,7,10,,,First discovery calls + proposal drafting,In Progress,First calls,"Proposal writing, English practice","Discovery calls",,,0,1,0,1
18,72,Phase 3,Week 72,3,7,10,,,First signed SOW + engagement kickoff,Complete,"First client ✓","First deliverables, presentation","First engagement live",Complete,"CONSULTING PRACTICE LAUNCHED ✓",1,0,0,1
